sCode,noPeriode,sDescription
MX-14,28,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-14,108,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-14,125,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-16,28,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-16,108,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-16,125,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-17,35,MAX 3 h18 h - 21 h JEU ET VEN
MX-21,25,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-21,26,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-21,28,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-24,1372,24 HEURES - 7 JOURS SUR 7
MX-25,108,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM et DIM
MX-25,332,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM et DIM
MX-32,332,MAX 3 h 9h - 18 h SAM et DIM
MX-44,108,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM
MX-44,332,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM
MX-46,108,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM et DIM
MX-46,332,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM et DIM
MX-50,1495,MAX 5 h18 h - 23 h LUN À SAM
MX-61,1471,MAX 1h 9h - 20h LUN-VEN (TEST GTR)
MX-65,1391,MAX 3h 12h - 18h LUN-VEN (TEST GTR)
MX-66,28,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-66,108,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-66,125,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
PA-TD,319,\P  Réservé aux handicapés
PA-VL,1437,Interdit d attacher vélo après un parcomètre
PC-GR,1437,Tarifé EXCEPTÉ pour les détenteurs d'une vignette SRRR du secteur
PC-PI,1437,Excepté périodes interdites
PC-TD,319,Réservée aux personnes handicapées
PC-VE,319,Réservée véhicule électrique en recharge (collant blanc officiel)
PC-VS,319,Stationnement réservé - véhicule électrique seulement
R747,116,Pour paiement des billets pour les autobus STM # 747
SH-AA,28,LUN À VEN 9 h - 21 h SAM 9 h 18 h
SH-AA,108,LUN À VEN 9 h - 21 h SAM 9 h 18 h
SH-AC,34,LUN À SAM 9 h - 18 h
SH-AJ,27,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
SH-AJ,28,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
SH-AJ,109,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
